,0,1
0,23.561474,19.095972
1,23.536314,19.128258
2,23.458254,19.223549
3,23.32427,19.392426
4,23.099352,19.674082
5,22.840704,20.009388
6,22.68815,20.215706
7,22.565502,20.404242
8,22.486074,20.53515
9,22.399645,20.681633
10,22.34141,20.792654
11,22.323595,20.840204
12,22.314106,20.924793
13,22.28068,21.191399
14,22.225199,21.726437
15,22.195076,21.981756
16,22.173906,22.151323
17,22.145256,22.371164
18,22.100433,22.672253
19,22.037788,23.056463
20,21.98568,23.350105
21,21.9523,23.496756
22,21.882217,23.768362
23,21.741768,24.27022
24,21.579414,24.782269
25,21.504929,24.953201
26,21.492054,24.969864
27,21.425108,25.068579
28,21.372734,25.152042
29,21.303982,25.235651
30,21.193108,25.357985
31,21.117702,25.426085
32,20.995228,25.52043
33,20.859076,25.622854
34,20.741161,25.705526
35,20.568054,25.82834
36,20.382992,25.95737
37,20.11591,26.144815
38,19.752668,26.400799
39,19.379421,26.666134
40,18.999712,26.94444
41,18.301727,27.478956
42,17.787392,27.893658
43,17.718792,27.95378
44,16.756483,28.671545
45,16.616936,28.77905
46,16.542046,28.83738
47,16.460436,28.901737
48,16.354372,28.985332
49,16.223597,29.088078
50,16.101448,29.185776
51,15.875773,29.369358
52,15.396629,29.78121
53,14.5088,30.586441
54,14.112307,30.968021
55,13.942896,31.143436
56,13.713359,31.39881
57,13.400949,31.751972
58,13.222968,31.9533
59,13.048971,32.153427
60,12.909563,32.310528
61,12.729465,32.50989
62,12.466279,32.792767
63,12.129938,33.15208
64,11.925544,33.361023
65,11.800199,33.471176
66,11.664749,33.58368
67,11.508558,33.712086
68,11.370043,33.823593
69,11.252981,33.921402
70,11.084683,34.066128
71,10.9339285,34.174454
72,10.728498,34.314262
73,10.551023,34.42127
74,10.451912,34.476048
75,10.370446,34.48238
76,10.246073,34.493908
77,10.151272,34.49746
78,10.027822,34.50746
79,9.814069,34.53946
80,9.37048,34.602123
81,8.907443,34.666683
82,8.211788,34.76205
83,7.6759586,34.833866
84,7.2811794,34.893707
85,7.058388,34.93367
86,6.9959745,34.960217
87,6.945746,34.969063
88,6.8499155,34.963093
89,6.7878366,34.966984
90,6.7288365,34.949314
91,6.5740423,34.894672
92,6.4023533,34.82238
93,6.268753,34.76079
94,6.1388874,34.67684
95,5.990593,34.53492
96,5.8735147,34.422596
97,5.787197,34.329544
98,5.6607714,34.17647
99,5.4687843,33.942387
100,5.244905,33.636093
101,4.9417458,33.164997
102,4.657422,32.705658
103,4.379646,32.27152
104,3.8248775,31.430502
105,3.5822468,31.059752
106,3.420165,30.833721
107,-3.2001774,3.5568738
108,-3.081216,4.3455634
109,-3.1896646,3.544144
110,-3.0612094,3.8605978
111,-4.1734276,4.7660956
112,-4.2196374,5.4004498
113,-4.5669394,5.413407
114,-3.867112,5.3016973
115,-4.290708,4.7309675
116,-5.0501795,4.1430225
117,-3.8636272,4.0931544
118,-4.7342896,5.3927784
119,-4.6252046,5.3959475
120,-5.0788155,5.30099
121,-4.66838,4.759047
